Event,Next step,Validation conclusion,Review conclusion,Glitch subtraction,Finalized,Links,Status
S240406aj,Review ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240406aj), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240406), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240406aj/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240406aj)",
S240413p,Event validation ([contact](mailto:salvador@lpccaen.in2p3.fr)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240413p), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240413), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240413p/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240413p)",
S240420aw,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240420aw), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240420), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240420aw/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240420aw)",
S240421ar,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240421ar), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240421), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240421ar/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240421ar)",
S240422ed,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240422ed), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240422), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240422ed/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240422ed)",
S240423br,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240423br), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240423), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240423br/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240423br)",
S240426s,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240426s), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240426), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240426s/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240426s)",
S240426dl,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240426dl), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240426), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240426dl/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240426dl)",
S240428dr,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240428dr), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240428), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240428dr/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240428dr)",
S240430ca,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240430ca), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240430), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240430ca/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240430ca)",
